电机0目标角,电机0反馈角,电机1目标角,电机1反馈角,电机0反馈力矩,电机1反馈力矩
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001121,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018781,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018781,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001121,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001212,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018751,0.000000,0.000000
0.000002,0.001212,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018690,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001151,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
0.000002,0.001181,0.000000,0.018751,0.000000,0.000000
0.000002,0.001181,0.000000,0.018720,0.000000,0.000000
